id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
9409|	4973|	Lloret de Mar|	Lloret de Mar|	lloret-de-mar|	152|	5286|	agencias-de-viajes-virtuales|	NULL|	NULL|
9410|	4973|	Rosas|	Rosas|	rosas|	152|	5286|	agencias-de-viajes-virtuales|	NULL|	NULL|
9411|	4973|	Tossa de Mar|	Tossa de Mar|	tossa-de-mar|	152|	5286|	agencias-de-viajes-virtuales|	NULL|	NULL|
9412|	4973|	Salou|	Salou|	salou|	152|	5740|	agencias-de-viajes-virtuales|	NULL|	NULL|
9413|	4973|	Cambrils|	Cambrils|	cambrils|	152|	5740|	agencias-de-viajes-virtuales|	NULL|	NULL|
9414|	6630|	Calviá|	Calviá|	calvia|	152|	6631|	agencias-de-viajes-virtuales|	NULL|	NULL|
9415|	6630|	Pollensa|	Pollensa|	pollensa|	152|	6631|	agencias-de-viajes-virtuales|	NULL|	NULL|
9416|	6630|	Alcudia|	Alcudia|	alcudia|	152|	6631|	agencias-de-viajes-virtuales|	NULL|	NULL|
9417|	6630|	Ciudadela|	Ciudadela|	ciudadela|	152|	6631|	agencias-de-viajes-virtuales|	NULL|	NULL|
9418|	6630|	Sant Antoni de Portmany|	Sant Antoni de Portmany|	sant-antoni-de-portmany|	152|	6631|	agencias-de-viajes-virtuales|	NULL|	NULL|
